id,zona,categoria,titulo,urgencia,nivel_uso,node_mode,resumen,variable,public_popup,zona_asignada,publicable,requiere_validacion,precision_geografica,etica,pct_alerta_zona,nivel_zona,score_zona
per_campus_caminos_noche,UNIVERSIDAD AUTONOMA CHAPINGO,percepcion_espacio,Caminos internos de noche,alta,PUBLICO_AGREGADO,zona_offset,Alta alerta/evitación en caminos internos nocturnos; requiere validación por recorridos de iluminación y vigilancia.,alerta_evitacion_nocturna,Síntesis agregada; no corresponde a incidente puntual.,UNIVERSIDAD AUTONOMA CHAPINGO,si,no,centroide_zona_offset,Nodo agregado/aproximado por zona; no representa ubicación exacta ni riesgo absoluto.,41.56,alta,0.825
per_labs_aulas_noche,UNIVERSIDAD AUTONOMA CHAPINGO,percepcion_espacio,Laboratorios y aulas de noche,alta,PUBLICO_AGREGADO,zona_offset,Espacios académicos nocturnos aparecen como foco de alerta por aislamiento y baja actividad.,espacio_academico_nocturno,Nodo agregado de percepción.,UNIVERSIDAD AUTONOMA CHAPINGO,si,no,centroide_zona_offset,Nodo agregado/aproximado por zona; no representa ubicación exacta ni riesgo absoluto.,41.56,alta,0.825
per_internado_noche,UNIVERSIDAD AUTONOMA CHAPINGO,sensible,Residencias/internado de noche,alta,NO_PUBLICAR_SENSIBLE,zona_offset,Información sensible; no publicar ubicación ni popup puntual.,residencial_institucional,No publicar exacto.,UNIVERSIDAD AUTONOMA CHAPINGO,no,no,centroide_zona_offset,NO PUBLICAR: punto/tema sensible; conservar sólo para análisis interno agregado.,41.56,alta,0.825
per_banos_internado,UNIVERSIDAD AUTONOMA CHAPINGO,sensible,Baños/residencias,alta,NO_PUBLICAR_SENSIBLE,zona_offset,Espacio sensible; conservar sólo como indicador agregado interno.,espacio_confinado_sensible,No publicar exacto.,UNIVERSIDAD AUTONOMA CHAPINGO,no,no,centroide_zona_offset,NO PUBLICAR: punto/tema sensible; conservar sólo para análisis interno agregado.,41.56,alta,0.825
per_comedor_explanadas_noche,UNIVERSIDAD AUTONOMA CHAPINGO,percepcion_espacio,Comedor y explanadas de noche,media,PUBLICO_AGREGADO,zona_offset,Espacios de concentración nocturna con alerta media; útil para validar iluminación y flujo de personas.,espacio_comunitario_nocturno,Nodo agregado de percepción.,UNIVERSIDAD AUTONOMA CHAPINGO,si,no,centroide_zona_offset,Nodo agregado/aproximado por zona; no representa ubicación exacta ni riesgo absoluto.,41.56,alta,0.825
per_canchas_deportivas,UNIVERSIDAD AUTONOMA CHAPINGO,percepcion_espacio,Canchas y áreas deportivas,media,PUBLICO_AGREGADO,zona_offset,Zona deportiva mencionada como espacio de cuestionamiento/aislamiento; requiere validación horaria.,espacio_deportivo,Nodo agregado.,UNIVERSIDAD AUTONOMA CHAPINGO,si,no,centroide_zona_offset,Nodo agregado/aproximado por zona; no representa ubicación exacta ni riesgo absoluto.,41.56,alta,0.825
tray_salitreria,SALITRERIA,trayecto_perimetral,Trayecto Salitrería–Campus,muy_alta,PUBLICO_AGREGADO,zona_offset,Trayecto con alta alerta/evitación en encuesta; requiere digitalizar ruta peatonal y validar iluminación.,trayecto_perimetral,Percepción agregada por trayecto.,SALITRERIA,si,no,centroide_zona_offset,Nodo agregado/aproximado por zona; no representa ubicación exacta ni riesgo absoluto.,87.5,media,0.594
tray_cooperativo,COOPERATIVO/CABAÑAS,trayecto_perimetral,Trayecto Cooperativo/Cabañas–Campus,alta,PUBLICO_AGREGADO,zona_offset,Trayecto asociado a puente y tramo oscuro; requiere validación de campo.,trayecto_perimetral,Percepción agregada por trayecto.,COOPERATIVO/CABAÑAS,si,no,centroide_zona_offset,Nodo agregado/aproximado por zona; no representa ubicación exacta ni riesgo absoluto.,80.95,media,0.631
tray_issste_huexotla,TRAMO ISSSTE - CHAPINGO,trayecto_perimetral,Trayecto ISSSTE/Huexotla–Campus,muy_alta,PUBLICO_AGREGADO,zona_offset,"Trayecto con señal alta en ficha y encuesta; requiere revisión de alumbrado, asaltos reportados y movilidad nocturna.",trayecto_perimetral,Percepción agregada por trayecto.,UNIVERSIDAD AUTONOMA CHAPINGO,si,no,centroide_zona_offset,Nodo agregado/aproximado por zona; no representa ubicación exacta ni riesgo absoluto.,41.56,alta,0.825
tray_boyeros_dicifo,BOYEROS,trayecto_perimetral,Trayecto DICIFO–Boyeros,media_alta,PUBLICO_AGREGADO,zona_offset,Tramo descrito como aislado y con baja iluminación; requiere levantar datos participativos específicos.,trayecto_perimetral,Nodo de hipótesis a validar.,BOYEROS,si,no,centroide_zona_offset,Nodo agregado/aproximado por zona; no representa ubicación exacta ni riesgo absoluto.,0.0,baja,0.175
fac_iluminacion_deficiente,TRAMO ISSSTE - CHAPINGO,factor_estructural,Iluminación deficiente reportada,alta,PUBLICO_CONTEXTUAL,zona_offset,Factor estructural transversal; validar con recorridos nocturnos y reportes de luminarias.,iluminacion,Factor estructural por validar.,UNIVERSIDAD AUTONOMA CHAPINGO,si,si,centroide_zona_offset,Nodo agregado/aproximado por zona; no representa ubicación exacta ni riesgo absoluto.,41.56,alta,0.825
fac_accesos_cerrados,UNIVERSIDAD AUTONOMA CHAPINGO,factor_estructural,Accesos cerrados y rutas alternas,alta,PUBLICO_CONTEXTUAL,zona_offset,El cierre de accesos puede forzar rutas oscuras; mapear horarios reales de puertas.,accesos,Factor estructural.,UNIVERSIDAD AUTONOMA CHAPINGO,si,si,centroide_zona_offset,Nodo agregado/aproximado por zona; no representa ubicación exacta ni riesgo absoluto.,41.56,alta,0.825
fac_transporte_informal,TRAMO ISSSTE - CHAPINGO,factor_estructural,Mototaxi/transporte informal nocturno,media,REVISION_CONTROLADA,zona_offset,Requiere ubicar paraderos activos y validar regulación/horarios.,transporte_informal,Revisión interna.,UNIVERSIDAD AUTONOMA CHAPINGO,no,si,centroide_zona_offset,Revisión controlada: requiere validación documental/campo antes de publicación.,41.56,alta,0.825
rec_ruta_segura,UNIVERSIDAD AUTONOMA CHAPINGO,recurso_apoyo,Ruta Segura UACh,recurso,PUBLICO_CONTEXTUAL,zona_offset,"Recurso institucional reportado; validar vigencia, horarios y paradas antes de publicarlo como operativo.",ruta_segura,Recurso por validar/actualizar.,UNIVERSIDAD AUTONOMA CHAPINGO,si,si,centroide_zona_offset,Nodo agregado/aproximado por zona; no representa ubicación exacta ni riesgo absoluto.,41.56,alta,0.825
rec_torobus,UNIVERSIDAD AUTONOMA CHAPINGO,recurso_apoyo,Torobús Chapingo–Texcoco,recurso,PUBLICO_CONTEXTUAL,zona_offset,Recurso de movilidad institucional; requiere vigencia y trazo de ruta.,transporte_institucional,Recurso institucional.,UNIVERSIDAD AUTONOMA CHAPINGO,si,si,centroide_zona_offset,Nodo agregado/aproximado por zona; no representa ubicación exacta ni riesgo absoluto.,41.56,alta,0.825
rec_seguridad_uach,UNIVERSIDAD AUTONOMA CHAPINGO,recurso_apoyo,Seguridad y vigilancia UACh,recurso,PUBLICO_CONTEXTUAL,zona_offset,Contacto institucional; publicar sólo contactos oficiales confirmados.,contacto_institucional,Contacto institucional.,UNIVERSIDAD AUTONOMA CHAPINGO,si,si,centroide_zona_offset,Nodo agregado/aproximado por zona; no representa ubicación exacta ni riesgo absoluto.,41.56,alta,0.825
rec_seguridad_texcoco,TRAMO ISSSTE - CHAPINGO,recurso_apoyo,Seguridad pública / emergencias Texcoco,recurso,PUBLICO_CONTEXTUAL,zona_offset,"Contactos municipales de emergencia y denuncia; se recomienda módulo de recursos, no sólo mapa.",contacto_institucional,Recurso municipal.,UNIVERSIDAD AUTONOMA CHAPINGO,si,si,centroide_zona_offset,Nodo agregado/aproximado por zona; no representa ubicación exacta ni riesgo absoluto.,41.56,alta,0.825
rec_direccion_mujer,UNIVERSIDAD AUTONOMA CHAPINGO,recurso_apoyo,Dirección de la Mujer Texcoco,recurso,PUBLICO_CONTEXTUAL,zona_offset,Recurso institucional de atención; ubicar y validar contacto oficial antes de hacer botón en web.,atencion_violencia,Recurso de apoyo.,UNIVERSIDAD AUTONOMA CHAPINGO,si,si,centroide_zona_offset,Nodo agregado/aproximado por zona; no representa ubicación exacta ni riesgo absoluto.,41.56,alta,0.825
apoyo_casa_companera,UNIVERSIDAD AUTONOMA CHAPINGO,apoyo_informal,Casa/cuarto de compañera,sensible,NO_PUBLICAR_SENSIBLE,zona_offset,Apoyo informal mencionado; nunca publicar ubicación exacta.,apoyo_informal,No publicar.,UNIVERSIDAD AUTONOMA CHAPINGO,no,no,centroide_zona_offset,NO PUBLICAR: punto/tema sensible; conservar sólo para análisis interno agregado.,41.56,alta,0.825
apoyo_tienda_negocio,SALITRERIA,apoyo_informal,Tienda/negocio local como apoyo informal,revision,REVISION_CONTROLADA,zona_offset,Mencionado como posible apoyo; no publicar como punto seguro sin validación participativa.,apoyo_informal,Revisión.,SALITRERIA,no,si,centroide_zona_offset,Revisión controlada: requiere validación documental/campo antes de publicación.,87.5,media,0.594
est_la_tia,COOPERATIVO/CABAÑAS,establecimiento_nocturno,La Tía / establecimiento por geolocalizar,alta,REVISION_CONTROLADA,zona_offset,Requiere geolocalización y verificación; no publicar acusaciones ni categoría de riesgo sin evidencia directa.,establecimiento_nocturno,Revisión controlada.,COOPERATIVO/CABAÑAS,no,si,centroide_zona_offset,Revisión controlada: requiere validación documental/campo antes de publicación.,80.95,media,0.631
est_selva_kiko,SALITRERIA,establecimiento_nocturno,La Selva de Kiko,media,REVISION_CONTROLADA,zona_offset,"Establecimiento nocturno en Salitrería; usar como contexto de actividad nocturna, no como acusación.",establecimiento_nocturno,Revisión controlada.,SALITRERIA,no,si,centroide_zona_offset,Revisión controlada: requiere validación documental/campo antes de publicación.,87.5,media,0.594
est_clandestino,TRAMO ISSSTE - CHAPINGO,establecimiento_nocturno,ClanDestino / Huexotla,media_alta,REVISION_CONTROLADA,zona_offset,Establecimiento nocturno; validar geolocalización y relación con trayectos antes de mostrarlo.,establecimiento_nocturno,Revisión controlada.,UNIVERSIDAD AUTONOMA CHAPINGO,no,si,centroide_zona_offset,Revisión controlada: requiere validación documental/campo antes de publicación.,41.56,alta,0.825
est_xantolo,TEXCOCO CENTRO,establecimiento_nocturno,Xantolo / Centro Texcoco,baja_media,REVISION_CONTROLADA,tabla_sin_geometria,Fuera de las zonas base actuales; conservar en tabla para expansión del área de estudio.,establecimiento_nocturno,Revisión futura.,UNIVERSIDAD AUTONOMA CHAPINGO,no,si,sin_geometria_tabla,Revisión controlada: requiere validación documental/campo antes de publicación.,41.56,alta,0.825
caso_intracampus_2004,UNIVERSIDAD AUTONOMA CHAPINGO,caso_documentado,Caso documentado intracampus 2004,memoria,PUBLICO_AGREGADO,zona_offset,Memoria documental agregada de violencia de género; no usar ubicación exacta ni detalles revictimizantes.,memoria_documental,Memoria agregada.,UNIVERSIDAD AUTONOMA CHAPINGO,si,no,centroide_zona_offset,Nodo agregado/aproximado por zona; no representa ubicación exacta ni riesgo absoluto.,41.56,alta,0.825
caso_intracampus_2014,UNIVERSIDAD AUTONOMA CHAPINGO,caso_documentado,Caso documentado intracampus 2014,memoria,PUBLICO_AGREGADO,zona_offset,Memoria documental agregada asociada a campus; requiere revisión de fuente antes de publicar detalle.,memoria_documental,Memoria agregada.,UNIVERSIDAD AUTONOMA CHAPINGO,si,no,centroide_zona_offset,Nodo agregado/aproximado por zona; no representa ubicación exacta ni riesgo absoluto.,41.56,alta,0.825
caso_intracampus_2019,UNIVERSIDAD AUTONOMA CHAPINGO,caso_documentado,Caso documentado intracampus 2019,memoria,PUBLICO_AGREGADO,zona_offset,Memoria documental agregada; no publicar ubicación exacta ni detalles revictimizantes.,memoria_documental,Memoria agregada.,UNIVERSIDAD AUTONOMA CHAPINGO,si,no,centroide_zona_offset,Nodo agregado/aproximado por zona; no representa ubicación exacta ni riesgo absoluto.,41.56,alta,0.825
caso_puente_cooperativo_2016,COOPERATIVO/CABAÑAS,caso_documentado,Caso documentado Cooperativo 2016,memoria,PUBLICO_AGREGADO,zona_offset,Memoria documental agregada asociada al trayecto; validar antes de publicar detalle.,memoria_documental,Memoria agregada.,COOPERATIVO/CABAÑAS,si,no,centroide_zona_offset,Nodo agregado/aproximado por zona; no representa ubicación exacta ni riesgo absoluto.,80.95,media,0.631
caso_huexotla_asalto_2026,TRAMO ISSSTE - CHAPINGO,caso_documentado,Asalto reportado en Huexotla 2026,alta,PUBLICO_AGREGADO,zona_offset,Caso documental agregado a zona; no sustituye denuncia ni estadística oficial.,memoria_documental,Caso agregado por zona.,UNIVERSIDAD AUTONOMA CHAPINGO,si,no,centroide_zona_offset,Nodo agregado/aproximado por zona; no representa ubicación exacta ni riesgo absoluto.,41.56,alta,0.825
caso_texopa_2024_2025,TEXCOCO,caso_documentado,Caso documentado Texopa 2024–2025,memoria,REVISION_CONTROLADA,tabla_sin_geometria,Fuera de zonas base; conservar para contexto municipal y futura ampliación.,memoria_documental,Revisión futura.,UNIVERSIDAD AUTONOMA CHAPINGO,no,si,sin_geometria_tabla,Revisión controlada: requiere validación documental/campo antes de publicación.,41.56,alta,0.825
caso_regidor_2026,TEXCOCO,caso_documentado,Denuncia abuso sexual autoridad local 2026,revision,REVISION_CONTROLADA,tabla_sin_geometria,Caso institucional en revisión documental; no geolocalizar sin criterio legal y ético.,memoria_documental,No publicar como punto.,UNIVERSIDAD AUTONOMA CHAPINGO,no,si,sin_geometria_tabla,Revisión controlada: requiere validación documental/campo antes de publicación.,41.56,alta,0.825
caso_agresion_sexual_arma_2026,TEXCOCO,caso_documentado,Detención por agresión sexual/arma 2026,revision,REVISION_CONTROLADA,tabla_sin_geometria,Contexto municipal; no geolocalizar sin fuente exacta y verificación.,memoria_documental,Revisión.,UNIVERSIDAD AUTONOMA CHAPINGO,no,si,sin_geometria_tabla,Revisión controlada: requiere validación documental/campo antes de publicación.,41.56,alta,0.825
caso_feminicidio_adolescente_2026,TEXCOCO,caso_documentado,Vinculación por feminicidio adolescente 2026,memoria,REVISION_CONTROLADA,tabla_sin_geometria,Contexto municipal; no geolocalizar en prototipo inicial.,memoria_documental,Revisión.,UNIVERSIDAD AUTONOMA CHAPINGO,no,si,sin_geometria_tabla,Revisión controlada: requiere validación documental/campo antes de publicación.,41.56,alta,0.825
caso_doble_feminicidio_2024_2025,TEXCOCO,caso_documentado,Doble feminicidio Texcoco/Teotihuacán,memoria,REVISION_CONTROLADA,tabla_sin_geometria,Contexto regional; mantener en tabla de memoria documental.,memoria_documental,Revisión.,UNIVERSIDAD AUTONOMA CHAPINGO,no,si,sin_geometria_tabla,Revisión controlada: requiere validación documental/campo antes de publicación.,41.56,alta,0.825
stat_ensu_mujeres_inseguridad,DOCUMENTACION,estadistica_contexto,ENSU: percepción de inseguridad mujeres,contexto,DOCUMENTACION,tabla_sin_geometria,Tarjeta estadística para web; no geográfica.,estadistica,Tarjeta.,UNIVERSIDAD AUTONOMA CHAPINGO,no,no,sin_geometria_tabla,Nodo agregado/aproximado por zona; no representa ubicación exacta ni riesgo absoluto.,41.56,alta,0.825
stat_dejar_caminar_noche,DOCUMENTACION,estadistica_contexto,Personas que dejaron de caminar de noche,contexto,DOCUMENTACION,tabla_sin_geometria,Tarjeta estadística contextual.,estadistica,Tarjeta.,UNIVERSIDAD AUTONOMA CHAPINGO,no,no,sin_geometria_tabla,Nodo agregado/aproximado por zona; no representa ubicación exacta ni riesgo absoluto.,41.56,alta,0.825
legal_abuso_sexual_reforma,DOCUMENTACION,marco_legal,Reforma abuso sexual / exhibicionismo,contexto,DOCUMENTACION,tabla_sin_geometria,Ficha legal para explicar tipificación; no geográfica.,legal,Tarjeta legal.,UNIVERSIDAD AUTONOMA CHAPINGO,no,no,sin_geometria_tabla,Nodo agregado/aproximado por zona; no representa ubicación exacta ni riesgo absoluto.,41.56,alta,0.825
legal_hostigamiento,DOCUMENTACION,marco_legal,Hostigamiento sexual,contexto,DOCUMENTACION,tabla_sin_geometria,Ficha legal para módulo de información.,legal,Tarjeta legal.,UNIVERSIDAD AUTONOMA CHAPINGO,no,no,sin_geometria_tabla,Nodo agregado/aproximado por zona; no representa ubicación exacta ni riesgo absoluto.,41.56,alta,0.825
